Location,Time,Sex,Per_Hour_Coded,Per_Month_Coded,Mean Speed (m/min),Pedestrian Density (Peds/m2),Pedestrian Flow (peds/m/min)
Bombo,AM,M,Hour 1,Month 2,102.9911959,1.095818166,44.67151534
Bombo,AM,M,Hour 2,Month 1,100.2494,0.537503201,38.51884885
Bombo,AM,M,Hour 1,Month 2,73.84841974,3.354635137,7.114159665
Bombo,AM,M,Hour 3,Month 1,70.56793322,3.436951078,45.20422979
Bombo,AM,M,Hour 3,Month 1,75.23450001,3.297563186,49.87406335
Bombo,AM,M,Hour 1,Month 2,74.83509877,2.979749233,48.17584054
Bombo,AM,M,Hour 2,Month 3,97.20022812,1.087413397,44.55785965
Bombo,AM,M,Hour 1,Month 2,102.0566167,0.932153811,85.26688191
Bombo,AM,M,Hour 3,Month 1,89.40928835,1.981286276,41.34298258
Bombo,AM,M,Hour 1,Month 2,66.3076253,3.925527636,37.89795895
Bombo,AM,M,Hour 1,Month 3,86.51544303,2.100003071,45.45266115
Bombo,AM,M,Hour 2,Month 3,77.77926918,3.023488409,37.25818017
Bombo,AM,M,Hour 1,Month 3,79.74474474,2.675510646,46.0621838
Bombo,AM,M,Hour 2,Month 1,71.17670766,3.391181272,39.20998933
Bombo,AM,M,Hour 2,Month 1,82.12434368,2.44417782,29.67363076
Bombo,AM,M,Hour 1,Month 2,77.80999048,2.489094877,41.63577281
Bombo,AM,M,Hour 3,Month 1,65.66496044,3.901513884,27.35975569
Bombo,AM,M,Hour 2,Month 1,89.83011466,1.967419557,49.16137949
Bombo,AM,M,Hour 1,Month 3,63.2193523,4.198713991,33.6049377
Bombo,AM,M,Hour 1,Month 2,81.4990837,2.419945071,52.29788455
Bombo,AM,M,Hour 1,Month 2,66.4482124,3.967702863,41.62172134
Bombo,AM,M,Hour 1,Month 2,84.26773022,2.577838943,42.91831747
Bombo,AM,M,Hour 1,Month 3,91.3987,1.888011286,49.31793898
Bombo,AM,M,Hour 1,Month 2,75.60154933,3.020496955,50.26902571
Bombo,AM,M,Hour 1,Month 2,80.91743688,2.151857756,51.31938316
Bombo,AM,M,Hour 2,Month 3,97.31840056,1.310646852,42.55013568
Bombo,AM,M,Hour 2,Month 1,80.85894083,2.760740863,37.11560017
Bombo,AM,M,Hour 3,Month 1,79.25336452,2.684461462,35.25209239
Bombo,AM,M,Hour 2,Month 1,92.15795406,2.116194858,33.47096832
Bombo,AM,M,Hour 3,Month 1,79.83574951,2.780718568,54.97456583
Bombo,AM,M,Hour 2,Month 1,61.39840809,4.423196208,37.45035005
Bombo,AM,M,Hour 1,Month 3,93.71864381,1.869229789,52.40434906
Bombo,AM,M,Hour 1,Month 2,67.95281384,3.672434358,46.75142437
Bombo,AM,M,Hour 3,Month 1,82.80501194,2.656112311,32.36250156
Bombo,AM,M,Hour 3,Month 1,99.93864837,1.284532506,42.80667006
Bombo,AM,M,Hour 2,Month 1,70.42665068,3.398956565,19.71205989
Bombo,AM,M,Hour 1,Month 3,87.44341552,2.219756968,41.30462987
Bombo,AM,M,Hour 1,Month 2,78.732987,3.314783515,49.63758967
Bombo,AM,M,Hour 1,Month 2,96.4142031,1.36258705,57.28940942
Bombo,AM,M,Hour 2,Month 3,81.41704936,2.556729196,53.35644575
Bombo,AM,M,Hour 2,Month 1,98.51451616,1.282558686,38.98452271
Bombo,AM,M,Hour 1,Month 2,82.08521965,2.644192852,46.44675515
Bombo,AM,M,Hour 2,Month 1,88.16606274,2.011928618,57.28944614
Bombo,AM,M,Hour 2,Month 3,78.66110759,2.87485343,51.63860884
Bombo,AM,M,Hour 1,Month 2,76.56119654,3.156273679,32.48861215
Bombo,AM,M,Hour 3,Month 1,84.06145848,2.437016473,46.84102124
Bombo,AM,M,Hour 2,Month 3,84.67542135,2.611996869,63.14802661
Bombo,AM,M,Hour 2,Month 3,74.47559024,3.362353579,35.41927193
Bombo,AM,M,Hour 2,Month 3,89.37697695,2.096977414,25.13691961
Bombo,AM,M,Hour 2,Month 3,99.26184098,1.085019336,35.07324617
Bombo,AM,M,Hour 1,Month 2,62.9125189,4.410351636,49.28628444
Bombo,AM,M,Hour 1,Month 3,94.68194651,1.39627785,52.38062526
Bombo,AM,M,Hour 2,Month 3,70.531964,3.427232373,45.32247266
Bombo,AM,M,Hour 2,Month 3,84.78023419,2.286454871,32.60133112
Bombo,AM,M,Hour 1,Month 2,98.20905587,1.465019742,53.43142411
Bombo,AM,M,Hour 1,Month 3,74.50393515,2.930404338,35.76528629
Bombo,AM,M,Hour 2,Month 3,77.58856063,2.911322518,24.75786693
Bombo,AM,M,Hour 1,Month 3,89.12148634,1.947458444,39.70200524
Bombo,AM,M,Hour 2,Month 1,87.52948831,1.9868001,38.52266892
Bombo,AM,M,Hour 1,Month 2,91.05129202,1.991000708,36.58798669
Bombo,AM,M,Hour 1,Month 2,86.03446259,2.22643867,43.22637029
Bombo,AM,M,Hour 2,Month 1,67.34525343,4.023882621,45.66412977
Bombo,AM,M,Hour 3,Month 1,70.82020856,3.608192814,37.58568319
Bombo,AM,M,Hour 1,Month 3,103.0334636,0.548075657,49.99076343
Bombo,AM,M,Hour 1,Month 3,60.61702869,4.213211274,38.11620657
Bombo,AM,M,Hour 1,Month 2,93.87999984,1.610363055,48.45333617
Bombo,AM,M,Hour 2,Month 3,71.94508211,3.282023059,20.24715794
Bombo,AM,M,Hour 2,Month 3,97.21976028,1.234971101,30.39013558
Bombo,AM,M,Hour 2,Month 1,104.258515,0.948612635,49.4962343
Bombo,AM,M,Hour 2,Month 1,82.67808473,2.131047789,60.34760992
Bombo,AM,M,Hour 3,Month 1,79.40555469,2.737705755,30.52501024
Bombo,AM,M,Hour 2,Month 3,75.10922368,3.186093074,26.86150848
Bombo,AM,M,Hour 2,Month 3,93.10461656,1.781813237,51.00951073
Bombo,AM,M,Hour 3,Month 1,86.67805715,2.034525052,50.58090691
Bombo,AM,M,Hour 1,Month 2,97.8312457,1.03242607,38.11461583
Bombo,AM,M,Hour 1,Month 3,86.31478248,2.112296506,59.11404236
Bombo,AM,M,Hour 1,Month 3,85.12280998,2.307853786,39.99170033
Bombo,AM,M,Hour 2,Month 1,84.76948769,2.240440957,60.6480013
Bombo,AM,M,Hour 1,Month 2,99.63729483,0.822785812,55.96767514
Bombo,AM,M,Hour 1,Month 2,63.85961668,4.382821836,13.33496411
Bombo,AM,M,Hour 3,Month 1,84.49816919,2.100030898,64.03424821
Bombo,AM,M,Hour 1,Month 2,80.47646593,2.639849753,37.99436374
Bombo,AM,M,Hour 1,Month 2,79.80154985,2.482247738,41.20772527
Bombo,AM,M,Hour 1,Month 2,80.41908805,2.853349118,33.80487261
Bombo,AM,M,Hour 3,Month 1,85.27143317,2.559492976,42.778461
Bombo,AM,M,Hour 1,Month 2,98.10303148,1.197353602,33.3445276
Bombo,AM,M,Hour 2,Month 3,65.55961497,3.534060455,51.70958486
Bombo,AM,M,Hour 1,Month 3,69.78019505,3.553885398,39.72921687
Bombo,AM,M,Hour 3,Month 1,86.68549342,2.342724147,43.94541955
Bombo,AM,M,Hour 2,Month 1,76.97805557,3.062375745,34.42549125
Bombo,AM,M,Hour 1,Month 3,81.63647723,2.382576644,41.24640901
Bombo,AM,M,Hour 2,Month 3,89.6051861,1.777470076,41.87437455
Bombo,AM,M,Hour 1,Month 2,71.35396113,3.408490835,34.6121563
Bombo,AM,M,Hour 1,Month 2,97.34608146,1.255635306,45.39250008
Bombo,AM,M,Hour 1,Month 2,77.08099202,2.899632479,27.09086903
Bombo,AM,M,Hour 2,Month 3,80.47441652,2.239431215,39.53488677
Bombo,AM,M,Hour 1,Month 2,80.64398907,2.802780287,42.50976832
Bombo,AM,M,Hour 3,Month 1,87.94956413,1.750468381,53.84768757
Bombo,AM,M,Hour 1,Month 2,114.5610539,0.150965757,31.35699122
Bombo,AM,M,Hour 1,Month 3,81.37924761,2.897985991,32.30063045
Bombo,AM,M,Hour 1,Month 2,98.93182757,1.244013688,54.46800074
Bombo,AM,M,Hour 1,Month 2,66.00324232,3.785682493,32.32644686
Bombo,AM,M,Hour 3,Month 1,84.46075028,2.101160386,47.88122285
Bombo,AM,M,Hour 2,Month 1,53.09736068,4.81227796,45.40412498
Bombo,AM,M,Hour 2,Month 3,84.54587036,2.149049382,51.25754439
Bombo,AM,M,Hour 2,Month 1,65.38059597,4.109153058,34.44255857
Bombo,AM,M,Hour 1,Month 2,82.3293665,3.025426369,28.25659672
Bombo,AM,M,Hour 1,Month 2,80.53343927,2.662345176,29.93891445
Bombo,AM,M,Hour 1,Month 3,107.3957544,0.50537338,53.28100117
Bombo,AM,M,Hour 2,Month 3,96.64828228,1.316151571,54.88381359
Bombo,AM,M,Hour 1,Month 2,94.79892413,1.680550793,34.80341453
Bombo,AM,M,Hour 2,Month 1,92.8412041,1.829015987,24.69573632
Bombo,AM,M,Hour 3,Month 1,77.2182302,2.624904211,47.86093863
Bombo,AM,M,Hour 3,Month 1,82.80064708,2.509742648,32.41427056
Bombo,AM,M,Hour 3,Month 1,65.68549177,4.07212893,32.39663609
Bombo,AM,M,Hour 2,Month 3,66.50001554,3.665441303,35.29177326
Bombo,AM,M,Hour 1,Month 2,79.6378933,2.888140555,38.21926726
Bombo,AM,M,Hour 1,Month 3,67.31319311,3.732472583,35.99736532
Bombo,AM,M,Hour 1,Month 3,91.98227495,1.63497914,39.45755808
Bombo,AM,M,Hour 3,Month 1,85.88944809,2.02072758,34.26964208
Bombo,AM,M,Hour 3,Month 1,82.04228033,2.413497184,64.42922328
Bombo,AM,M,Hour 3,Month 1,81.67309954,2.546595808,39.09619449
Bombo,AM,M,Hour 1,Month 2,111.23105,0.226615885,42.09233778
Bombo,AM,M,Hour 1,Month 2,68.35073757,3.503193302,26.58300926
Bombo,AM,M,Hour 1,Month 3,101.8251499,0.463564606,39.452149
Bombo,AM,M,Hour 3,Month 1,81.96138831,2.508183549,25.6395424
Bombo,AM,M,Hour 1,Month 3,82.60208636,2.351721822,42.26788995
Bombo,AM,M,Hour 1,Month 2,98.1479873,1.37730987,52.14966061
Bombo,AM,M,Hour 1,Month 3,90.14989057,2.011715832,34.80383778
Bombo,AM,M,Hour 2,Month 1,84.12271926,2.119357881,27.98960924
Bombo,AM,M,Hour 2,Month 3,80.02884234,2.540151098,35.7452404
Bombo,AM,M,Hour 3,Month 1,90.60903602,1.936203959,48.24546249
Bombo,AM,M,Hour 2,Month 1,105.9510688,0.693100314,43.44449809
Bombo,AM,M,Hour 2,Month 3,67.38560002,3.750631884,59.18085077
Bombo,AM,M,Hour 3,Month 1,93.28653615,1.885577626,27.85374079
Bombo,AM,M,Hour 1,Month 3,75.25517977,3.191102675,33.85384317
Bombo,AM,M,Hour 1,Month 2,105.2662478,0.194149476,43.52919795
Bombo,AM,M,Hour 3,Month 1,91.16994764,2.12106964,29.79400395
Bombo,AM,M,Hour 2,Month 3,63.27062927,4.317561075,41.50575796
Bombo,AM,M,Hour 1,Month 3,83.46811026,2.571377592,45.3276184
Bombo,AM,M,Hour 1,Month 2,85.29995557,2.355969644,29.60203137
Bombo,AM,M,Hour 2,Month 3,66.68016091,3.779333897,21.10040232
Bombo,AM,M,Hour 2,Month 3,94.24176423,1.323911624,38.44148581
Bombo,AM,M,Hour 1,Month 3,109.8916652,0.075402506,50.76157032
Bombo,AM,M,Hour 3,Month 1,92.21844777,1.706449675,28.18591872
Bombo,AM,M,Hour 2,Month 3,73.84520245,3.1426668,45.75279457
Bombo,AM,M,Hour 3,Month 1,90.34415868,1.858375696,36.73855808
Bombo,AM,M,Hour 2,Month 1,100.256559,0.718765824,36.05726481
Bombo,AM,M,Hour 2,Month 1,65.55881905,4.049637522,42.86492432
Bombo,AM,M,Hour 1,Month 2,69.90146602,3.778999474,44.1451642
Bombo,AM,M,Hour 3,Month 1,85.32529369,2.223290022,32.22213886
Bombo,AM,M,Hour 1,Month 3,100.8126634,1.102684082,45.32147485
Bombo,AM,M,Hour 1,Month 2,77.02694721,3.19473685,46.80408077
Bombo,AM,M,Hour 1,Month 3,75.47352523,3.032465886,38.41777748
Bombo,AM,M,Hour 1,Month 2,77.42098322,3.000561432,21.77386421
Bombo,AM,M,Hour 2,Month 3,69.49075477,3.252169225,39.37187319
Bombo,AM,M,Hour 1,Month 2,93.08128309,1.567802812,40.67206949
Bombo,AM,M,Hour 1,Month 2,78.34451249,3.0562826,40.75264255
Bombo,AM,M,Hour 1,Month 2,84.99840865,2.244150703,19.76952461
Bombo,AM,M,Hour 2,Month 1,106.0539225,0.800820893,37.53920184
Bombo,AM,M,Hour 1,Month 2,65.38681327,3.970846558,28.47896923
Bombo,AM,M,Hour 1,Month 3,73.96298105,3.443319108,52.04944746
